DATE,AHEMAN,AHEMAN_PC1,FEDFUNDS,M08297USM548NNBR,PAYEMS,PERMIT,RECPROUSM156N,UEMPMEAN,UNRATE,USREC,Consumer_Expend,Gross_Dom_Income_PC1,Natural_Rate_Unemp,SP_Close,Unemp_Gap
8/1/1971,3.45,6.48148,5.56,281,71373,2004,0.34,11.5,6.1,0,1076.069288,6.398486214,5.983361267,99.029999,-0.116638733
9/1/1971,3.49,5.75758,5.55,238.25,71614,1996,0.02,11.9,6,0,1082.442497,7.003233093,5.988821835,98.339996,-0.011178165
10/1/1971,3.49,7.38462,5.2,248.6,71642,2026,0.02,12.6,5.8,0,1088.226333,7.56564,5.994,94.230003,0.194
11/1/1971,3.49,7.05521,4.91,290.25,71847,2079,0,12,6,0,1093.049908,7.98387463,5.999103116,93.989998,-0.000896884
12/1/1971,3.58,6.86567,4.14,347.25,72109,2133,0.02,11.5,6,0,1097.354646,8.243104903,6.003929476,102.089996,0.003929476
1/1/1972,3.6,6.50888,3.5,390.4,72441,2238,0.02,12.1,5.8,0,1102.589,8.41028,6.009,103.940002,0.209
2/1/1972,3.61,6.48968,3.29,297.75,72648,2169,0.04,12.4,5.7,0,1109.397382,8.518213833,6.014305998,106.57,0.314305998
3/1/1972,3.63,7.07965,3.83,248,72944,2105,0.04,12.3,5.8,0,1116.460478,8.578232269,6.019436576,107.199997,0.219436576
4/1/1972,3.66,7.01754,4.17,233.8,73162,2139,0.04,12.4,5.7,0,1123.578667,8.60503,6.025,107.669998,0.325
5/1/1972,3.67,6.99708,4.27,217.75,73469,2067,0.08,12.3,5.7,0,1129.280645,8.62095066,6.030371479,109.529999,0.330371479
6/1/1972,3.68,6.66667,4.46,222.25,73758,2183,0.1,12.4,5.7,0,1134.772859,8.743128097,6.035841678,107.139999,0.335841678
7/1/1972,3.68,6.66667,4.55,324.6,73709,2195,0.34,11.8,5.6,0,1140.894,9.09644,6.041,107.389999,0.441
8/1/1972,3.7,7.24638,4.8,218.5,74141,2263,0.06,11.8,5.6,0,1148.944787,9.765204673,6.04615328,111.089996,0.44615328
9/1/1972,3.76,7.73639,4.87,190.2,74264,2393,0.06,12.1,5.5,0,1158.253538,10.49522353,6.051181067,110.550003,0.551181067
10/1/1972,3.77,8.02292,5.04,211.25,74674,2354,0.06,11.7,5.6,0,1167.667,10.95383,6.056,111.580002,0.456
11/1/1972,3.79,8.59599,5.06,249,74973,2234,0.06,11.4,5.3,0,1176.919062,10.96138754,6.060997614,116.669998,0.760997614
12/1/1972,3.86,7.82123,5.33,314.6,75268,2419,0.08,11.4,5.2,0,1184.279779,10.71186543,6.065881473,118.050003,0.865881473
1/1/1973,3.88,7.77778,5.94,337,75617,2271,0.06,11,4.9,0,1188.985667,10.49231,6.071,116.029999,1.171
2/1/1973,3.87,7.20222,6.58,255.75,76014,2226,0.1,10.5,5,0,1190.05582,10.54396031,6.076194762,111.68,1.076194762
3/1/1973,3.88,6.88705,7.09,214.8,76284,2062,0.44,10.6,4.9,0,1189.249599,10.76776675,6.080889127,111.519997,1.180889127
4/1/1973,3.91,6.8306,7.12,215.25,76455,1908,0.42,10,5,0,1188.449667,11.07707,6.086,106.970001,1.086
5/1/1973,3.93,7.08447,7.84,197.75,76648,1931,0.22,10.1,4.9,0,1189.270775,11.32269808,6.090786553,104.949997,1.190786553
6/1/1973,3.95,7.33696,8.49,200.4,76887,2051,0.24,9.6,4.9,0,1191.103459,11.4745847,6.095554652,104.260002,1.195554652
7/1/1973,3.97,7.88043,10.4,275.75,76913,1819,0.16,9.6,4.8,0,1192.632667,11.49743,6.1,108.220001,1.3
8/1/1973,3.97,7.2973,10.5,224.25,77168,1809,0.26,9.8,4.8,0,1192.924056,11.37407811,6.10443656,104.25,1.30443656
9/1/1973,4.04,7.44681,10.78,184.2,77276,1704,0.18,9.4,4.8,0,1191.701259,11.11395815,6.108787562,108.43,1.308787562
10/1/1973,4.04,7.1618,10.01,206.25,77607,1411,0.18,10.2,4.6,0,1189.075667,10.75122,6.113,108.290001,1.513
11/1/1973,4.07,7.38786,10.03,251.25,77920,1402,0.4,9.9,4.8,0,1185.111362,10.29432257,6.117410954,95.959999,1.317410954
12/1/1973,4.12,6.73575,9.95,374.8,78031,1288,19.52,9.5,4.9,1,1181.186119,9.851644514,6.121678734,97.550003,1.221678734
1/1/1974,4.12,6.18557,9.65,456.75,78100,1331,22.5,9.5,5.1,1,1178.437333,9.48821,6.126,96.57,1.026
2/1/1974,4.12,6.45995,8.97,372,78254,1360,18.74,9.6,5.2,1,1178.090736,9.293187426,6.13017427,96.220001,0.93017427
3/1/1974,4.15,6.95876,9.35,296,78296,1440,16.84,9.7,5.1,1,1179.598118,9.246679991,6.133877543,93.980003,1.033877543
4/1/1974,4.16,6.39386,10.51,264.25,78382,1254,16.76,9.8,5.1,1,1182.680333,9.2999,6.138,90.309998,1.038
5/1/1974,4.24,7.88804,11.31,244,78549,1138,16.28,9.6,5.1,1,1186.250167,9.405323371,6.142063965,87.279999,1.042063965
6/1/1974,4.29,8.60759,11.93,256.4,78604,1086,28.88,9.7,5.4,1,1188.67426,9.462539626,6.146210038,86,0.746210038
7/1/1974,4.32,8.81612,12.92,339.75,78636,1002,42.86,9.9,5.5,1,1187.760667,9.35188,6.15,79.309998,0.65
8/1/1974,4.35,9.57179,12.01,289.2,78619,917,74.8,9.8,5.5,1,1182.332829,8.98223366,6.153565615,72.150002,0.653565615
9/1/1974,4.43,9.65347,11.34,271.5,78610,840,79.82,9.6,5.9,1,1175.224066,8.416477702,6.156879871,63.540001,0.256879871
10/1/1974,4.47,10.64356,10.06,341,78630,824,92.28,9.9,6,1,1170.399,7.77651,6.16,73.900002,0.16
11/1/1974,4.49,10.31941,9.45,463.2,78265,783,99.72,9.6,6.6,1,1170.346006,7.103310279,6.163268814,69.970001,-0.436731186
12/1/1974,4.56,10.67961,8.53,705,77652,869,99.74,10.1,7.2,1,1174.156289,6.469107867,6.16652105,68.559998,-1.03347895
1/1/1975,4.56,10.67961,7.13,807.25,77293,726,99.56,10.7,8.1,1,1180.215667,5.84868,6.17,76.980003,-1.93
2/1/1975,4.58,11.16505,6.24,641.25,76918,729,99.44,11.7,8.1,1,1186.829725,5.288244655,6.173583942,81.589996,-1.926416058
3/1/1975,4.62,11.3253,5.54,521.4,76648,709,93.5,11.8,8.6,1,1192.909339,4.877802298,6.176759738,83.360001,-2.423240262
4/1/1975,4.62,11.05769,5.49,471.5,76460,866,19.94,12.9,8.8,0,1199.628667,4.58515,6.18,87.300003,-2.62
5/1/1975,4.64,9.43396,5.22,402.6,76624,914,3.2,13.4,9,0,1205.945627,4.504748303,6.182735251,91.150002,-2.817264749
6/1/1975,4.67,8.85781,5.55,425,76521,946,0.58,15.3,8.8,0,1211.896156,4.61430698,6.18536161,95.190002,-2.61463839
7/1/1975,4.7,8.7963,6.1,482.25,76770,1020,0.14,15,8.6,0,1216.678333,4.87555,6.188,88.75,-2.412
8/1/1975,4.72,8.50575,6.14,388.6,77153,994,0.1,15.6,8.4,0,1220.507776,5.28916958,6.191027171,86.879997,-2.208972829
9/1/1975,4.79,8.12641,6.24,337.5,77228,1064,0.1,16.1,8.4,0,1224.425032,5.894807606,6.194157686,83.870003,-2.205842314
10/1/1975,4.8,7.38255,5.82,363.5,77540,1096,0.1,15.4,8.4,0,1229.761667,6.72192,6.197,89.040001,-2.203
11/1/1975,4.83,7.57238,5.22,397,77685,1110,0.08,16.6,8.3,0,1237.765606,7.835347198,6.199538183,91.239998,-2.100461817
